fundNo,fundName
﻿SE1559,华宝证大价值证券投资集合资金信托计划
SE1560,西部信托·朱雀4期证券投资集合资金信托计划
SE1562,陕国投·朱雀13期证券投资集合资金信托计划
SE1563,华融·朱雀六期证券投资单一资金信托
SE1564,兴业信托·朱雀17期证券投资集合资金信托计划
SE1565,中融-朱雀12期证券投资集合资金信托计划
SE1566,中国龙精选（三）资本市场集合资金信托计划
SE1567,“得利宝·至尊11号”理财产品
SE1568,中国龙资本市场集合资金信托计划
SE1570,中国龙稳健（五）资本市场集合资金信托计划
SE1571,中国龙价值（九）资本市场集合资金信托计划
SE1572,中国龙价值资本市场集合资金信托计划
SE1573,外贸信托·朱雀22期集合资金信托计划
SE1574,深国投·朱雀2期证券投资集合资金信托计划
